[2018-05-23T09:27:45-0700] DFHack 0.43.05-r3-0-ge2f705c7 on Linux; cwd md5: aa6d8c4130; save: region1; SC_WORLD_UNLOADED; game type NONE (11)
[2018-05-23T09:28:43-0700] DFHack 0.43.05-r3-0-ge2f705c7 on Linux; cwd md5: aa6d8c4130; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-05-23T10:48:27-0700] DFHack 0.43.05-r3-0-ge2f705c7 on Linux; cwd md5: aa6d8c4130; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-05-23T11:07:50-0700] DFHack 0.43.05-r3-0-ge2f705c7 on Linux; cwd md5: aa6d8c4130; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-05-23T11:07:50-0700] DFHack 0.43.05-r3-0-ge2f705c7 on Linux; cwd md5: aa6d8c4130; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2018-05-23T11:08:15-0700] DFHack 0.43.05-r3-0-ge2f705c7 on Linux; cwd md5: aa6d8c4130; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-05-23T11:08:15-0700] DFHack 0.43.05-r3-0-ge2f705c7 on Linux; cwd md5: aa6d8c4130; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-05-23T11:08:25-0700] DFHack 0.43.05-r3-0-ge2f705c7 on Linux; cwd md5: aa6d8c4130; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-05-23T11:08:25-0700] DFHack 0.43.05-r3-0-ge2f705c7 on Linux; cwd md5: aa6d8c4130; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2018-05-23T11:10:32-0700] DFHack 0.43.05-r3-0-ge2f705c7 on Linux; cwd md5: aa6d8c4130; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-05-23T11:10:32-0700] DFHack 0.43.05-r3-0-ge2f705c7 on Linux; cwd md5: aa6d8c4130; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-05-23T11:18:35-0700] DFHack 0.43.05-r3-0-ge2f705c7 on Linux; cwd md5: aa6d8c4130; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-05-23T11:18:35-0700] DFHack 0.43.05-r3-0-ge2f705c7 on Linux; cwd md5: aa6d8c4130; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2018-05-23T12:30:58-0700] DFHack 0.43.05-r3-0-ge2f705c7 on Linux; cwd md5: aa6d8c4130; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-05-23T12:30:58-0700] DFHack 0.43.05-r3-0-ge2f705c7 on Linux; cwd md5: aa6d8c4130; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-05-23T12:35:27-0700] DFHack 0.43.05-r3-0-ge2f705c7 on Linux; cwd md5: aa6d8c4130; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-05-23T12:35:27-0700] DFHack 0.43.05-r3-0-ge2f705c7 on Linux; cwd md5: aa6d8c4130; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2018-05-23T12:36:19-0700] DFHack 0.43.05-r3-0-ge2f705c7 on Linux; cwd md5: aa6d8c4130; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-05-23T12:36:19-0700] DFHack 0.43.05-r3-0-ge2f705c7 on Linux; cwd md5: aa6d8c4130; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-05-25T09:25:08-0700] DFHack 0.43.05-r3-0-ge2f705c7 on Linux; cwd md5: aa6d8c4130; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-05-25T09:25:08-0700] DFHack 0.43.05-r3-0-ge2f705c7 on Linux; cwd md5: aa6d8c4130; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2018-05-25T09:27:24-0700] DFHack 0.43.05-r3-0-ge2f705c7 on Linux; cwd md5: aa6d8c4130; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-05-25T09:27:24-0700] DFHack 0.43.05-r3-0-ge2f705c7 on Linux; cwd md5: aa6d8c4130; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-05-25T11:33:52-0700] DFHack 0.43.05-r3-0-ge2f705c7 on Linux; cwd md5: aa6d8c4130; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-05-25T12:25:03-0700] DFHack 0.43.05-r3-0-ge2f705c7 on Linux; cwd md5: aa6d8c4130; save: region1; SC_WORLD_UNLOADED; game type NONE (11)
[2018-05-25T12:25:17-0700] DFHack 0.43.05-r3-0-ge2f705c7 on Linux; cwd md5: aa6d8c4130; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-05-25T16:09:17-0700] DFHack 0.43.05-r3-0-ge2f705c7 on Linux; cwd md5: aa6d8c4130; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-05-25T17:11:55-0700] DFHack 0.43.05-r3-0-ge2f705c7 on Linux; cwd md5: aa6d8c4130; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-05-25T17:11:55-0700] DFHack 0.43.05-r3-0-ge2f705c7 on Linux; cwd md5: aa6d8c4130; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
